b,g,r,clase
101,160,150,1
153,202,192,1
221,254,247,1
229,248,243,1
237,241,239,1
243,240,239,1
243,240,239,1
243,240,239,1
249,239,239,1
253,238,239,1
247,239,239,1
232,242,239,1
223,244,239,1
226,243,239,1
234,242,239,1
236,241,239,1
238,241,239,1
239,241,239,1
241,240,239,1
242,240,239,1
242,240,239,1
244,240,239,1
245,240,239,1
245,240,239,1
245,240,239,1
247,239,239,1
247,239,239,1
245,238,238,1
246,238,238,1
245,238,238,1
245,238,238,1
242,238,237,1
242,238,237,1
242,239,235,1
240,239,235,1
240,239,235,1
240,239,235,1
239,238,234,1
239,238,234,1
239,238,234,1
238,237,233,1
238,237,233,1
239,238,234,1
240,239,235,1
240,239,235,1
240,239,235,1
239,238,234,1
239,238,234,1
239,238,234,1
238,237,233,1
238,237,233,1
238,237,233,1
237,235,233,1
236,234,233,1
236,234,233,1
236,234,233,1
236,234,233,1
236,234,233,1
236,234,233,1
236,234,233,1
236,234,233,1
237,235,234,1
240,238,237,1
240,238,237,1
240,238,237,1
240,238,237,1
240,238,237,1
241,239,238,1
242,240,239,1
242,240,239,1
242,240,240,1
241,238,237,1
240,235,232,1
239,234,231,1
239,234,231,1
239,234,231,1
239,234,231,1
238,233,230,1
238,233,230,1
238,233,230,1
238,233,230,1
237,232,229,1
237,232,229,1
237,232,229,1
237,232,229,1
237,232,229,1
236,231,228,1
236,231,228,1
236,231,228,1
235,230,227,1
235,230,227,1
236,231,228,1
236,231,228,1
236,231,228,1
236,231,228,1
235,230,227,1
235,230,227,1
235,230,227,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,228,225,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
234,227,224,1
237,230,227,1
237,230,227,1
236,229,226,1
235,228,225,1
234,227,224,1
233,226,223,1
232,225,222,1
232,225,222,1
232,224,221,1
231,224,221,1
230,225,222,1
230,225,222,1
231,226,223,1
232,227,224,1
232,227,224,1
232,227,224,1
233,228,225,1
233,228,225,1
234,229,226,1
232,227,224,1
231,226,223,1
232,227,224,1
232,227,224,1
233,228,225,1
233,228,225,1
233,228,225,1
234,229,226,1
235,230,227,1
235,230,227,1
234,228,225,1
233,227,221,1
233,227,222,1
233,226,221,1
232,226,220,1
231,224,221,1
230,224,219,1
230,223,219,1
230,223,218,1
228,222,216,1
225,218,215,1
225,219,213,1
225,218,214,1
224,217,213,1
224,216,212,1
223,215,212,1
222,216,210,1
222,214,211,1
221,215,210,1
221,214,207,1
220,213,205,1
220,213,204,1
219,212,202,1
217,210,200,1
216,208,198,1
215,206,196,1
213,204,194,1
212,203,192,1
211,203,190,1
209,200,187,1
208,198,185,1
208,198,185,1
209,198,184,1
208,197,183,1
208,196,182,1
207,195,181,1
207,195,180,1
205,195,180,1
206,194,181,1
207,194,182,1
205,195,182,1
205,194,181,1
205,193,181,1
206,193,181,1
205,194,180,1
204,192,178,1
204,191,177,1
204,191,177,1
206,192,177,1
207,193,177,1
206,192,176,1
207,192,175,1
206,191,173,1
205,190,172,1
205,188,172,1
204,188,171,1
203,187,170,1
203,187,170,1
205,188,170,1
206,189,170,1
206,189,169,1
205,188,168,1
204,187,168,1
204,187,166,1
203,186,165,1
202,185,164,1
202,185,164,1
202,186,163,1
202,186,163,1
202,186,163,1
201,186,161,1
201,186,160,1
201,186,160,1
200,186,159,1
200,185,159,1
200,186,158,1
200,186,158,1
200,184,157,1
199,182,156,1
201,183,156,1
0,107,79,1
0,97,77,1
0,70,50,1
0,102,83,1
